String,Delta Value,Delta Remoteness
o-oxxxox-,-1,1
-ooxxxox-,-1,1
o-----xx-,-1,1
-o----xx-,-2,-1
oo----xx-,0,2
-oo---xx-,0,2
xoo---xx-,-1,-1
oxo---xx-,-1,-1
oox---xx-,-1,-1
---o--xx-,-1,1
o--o--xx-,0,2
-o-o--xx-,0,2
xo-o--xx-,-2,-3
ox-o--xx-,-1,-1
--oo--xx-,0,2
x-oo--xx-,-2,-3
-xoo--xx-,-1,-1
o-xo--xx-,-1,-1
-oxo--xx-,-1,-1
ooox--xx-,-1,1
xo--o-xx-,-1,-1
x-o-o-xx-,-1,-1
-xo-o-xx-,0,-2
-ox-o-xx-,-2,-3
-o-xo-xx-,-1,-1
--oxo-xx-,-1,-1
xooxo-xx-,-1,1
ooo-x-xx-,-1,1
o--ox-xx-,-1,-1
-o-ox-xx-,-1,-1
--oox-xx-,-1,-1
xooox-xx-,-2,-1
oxoox-xx-,-1,1
ooxox-xx-,-1,1
o----oxx-,0,2
-o---oxx-,0,2
xo---oxx-,-1,-1
ox---oxx-,-1,-1
--o--oxx-,0,2
o-x--oxx-,-1,-1
-ox--oxx-,-1,-1
---o-oxx-,0,2
o--x-oxx-,0,-2
-o-x-oxx-,-1,-1
xoox-oxx-,-1,1
ooxx-oxx-,-1,-1
x--oooxx-,-1,1
-x-oooxx-,-1,1
--xoooxx-,-1,1
---xooxx-,-1,-1
xo-xooxx-,-1,1
x-oxooxx-,-1,1
oxoxooxx-,1,-1
-oxxooxx-,-1,-1
ooxxooxx-,1,-1
o---xoxx-,-1,-1
-o--xoxx-,-1,-1
oxo-xoxx-,-1,1
oox-xoxx-,-1,1
---oxoxx-,-1,-1
xo-oxoxx-,-1,-1
ox-oxoxx-,-1,1
-xooxoxx-,-1,1
o-xoxoxx-,-1,1
-oxoxoxx-,-1,1
ooo--xxx-,-1,1
o--o-xxx-,-1,-3
-o-o-xxx-,-2,-3
--oo-xxx-,-2,-3
xooo-xxx-,-2,-1
oxoo-xxx-,-1,-1
ooxo-xxx-,-1,-1
-o--oxxx-,-2,-3
--o-oxxx-,-2,-3
xoo-oxxx-,-1,-1
---ooxxx-,-2,-3
xo-ooxxx-,-2,-1
x-oooxxx-,-2,-1
xooooxxx-,1,-1
-xoooxxx-,-2,-1
oxoooxxx-,1,-1
-oxooxxx-,-2,-1
ooxooxxx-,1,-1
x-------o,2,1
-x------o,2,1
xx------o,2,1
xxo-----o,-1,-3
--x-----o,2,1
xox-----o,0,-2
-xx-----o,-1,1
oxx-----o,0,-2
xx-o----o,0,2
-xxo----o,0,2
xxxo----o,-1,1
xo-x----o,0,2
ox-x----o,0,-2
-xox----o,-1,-3
--xx----o,-2,-1
o-xx----o,0,-2
xoxx----o,-2,-3
xxx-o---o,-1,1
-x-xo---o,0,-2
xx-xo---o,-1,-1
--xxo---o,0,-2
x-xxo---o,-1,-1
oxxxo---o,-1,1
----x---o,0,-1
xo--x---o,0,-2
x-o-x---o,-2,-4
xox-x---o,-2,-3
oxx-x---o,-1,-1
x--ox---o,0,-2
xx-ox---o,-1,-1
x-xox---o,-1,-1
-xxox---o,-1,-1
xo-xx---o,-1,-1
ox-xx---o,-1,-1
o-xxx---o,-1,-1
-oxxx---o,-1,-1
-xx--o--o,0,2
xxx--o--o,-1,1
-x-x-o--o,0,-2
xxox-o--o,-1,1
x-xx-o--o,-1,-1
-xxx-o--o,-1,-3
oxxx-o--o,0,-2
xxxxoo--o,-1,1
x---xo--o,0,-2
xxo-xo--o,-1,1
x-x-xo--o,-1,-1
-xx-xo--o,-1,-1
xxxoxo--o,-1,1
---xxo--o,-2,-4
x-oxxo--o,-1,1
-xoxxo--o,-1,1
--xxxo--o,-2,-3
xoxxxo--o,-2,-1
oxxxxo--o,-1,-1
-----x--o,0,-1
x----x--o,-2,-1
ox---x--o,0,-2
x-o--x--o,0,-2
-xo--x--o,0,-2
xxo--x--o,0,-2
o-x--x--o,0,-2
xox--x--o,0,-2
x--o-x--o,-2,-2
-x-o-x--o,-2,-2
xx-o-x--o,-2,-3
xxoo-x--o,-2,-2
--xo-x--o,-2,-2
x-xo-x--o,-2,-3
xoxo-x--o,-2,-2
-xxo-x--o,0,-2
oxxo-x--o,-1,-1
-o-x-x--o,0,2
xo-x-x--o,-1,-1
x-ox-x--o,-1,-1
-xox-x--o,0,-2
-oxx-x--o,0,-2
x---ox--o,-2,-4
-x--ox--o,-2,-4
xx--ox--o,-2,-3
xxo-ox--o,-2,-2
--x-ox--o,-2,-4
x-x-ox--o,-2,-3
xox-ox--o,-2,-2
oxx-ox--o,-1,1
xxxoox--o,-1,1
---xox--o,-1,-3
x--xox--o,0,-2
ox-xox--o,-1,1
-xoxox--o,-1,-1
o-xxox--o,-1,1
-oxxox--o,-1,-1
xo--xx--o,-2,-3
ox--xx--o,-1,-1
x-o-xx--o,-2,-3
-xo-xx--o,-1,-1
o-x-xx--o,-1,-1
-ox-xx--o,-1,-1
---oxx--o,-2,-4
x--oxx--o,-2,-3
xo-oxx--o,-2,-2
-x-oxx--o,-2,-3
x-ooxx--o,-2,-2
xxooxx--o,-2,-1
--xoxx--o,0,-2
xoxoxx--o,-2,-1
o--xxx--o,-1,1
-o-xxx--o,-1,1
--oxxx--o,-1,1
xooxxx--o,-1,1
oxoxxx--o,-1,1
ooxxxx--o,-1,1
xxx---o-o,-1,1
x--x--o-o,-1,-3
-x-x--o-o,-1,-3
xxox--o-o,-1,-1
--xx--o-o,-2,-4
xoxx--o-o,-2,-2
oxxx--o-o,-1,-1
xxxxo-o-o,-1,1
x---x-o-o,-2,-4
--x-x-o-o,-2,-4
xox-x-o-o,-2,-2
xxxox-o-o,-1,1
xxxx-oo-o,-1,1
xxx-xoo-o,-1,1
x--xxoo-o,-1,-1
--xxxoo-o,-2,-2
xoxxxoo-o,-1,-1
oxxxxoo-o,1,-1
x----xo-o,-2,-4
-x---xo-o,-1,-3
xxo--xo-o,-1,-1
--x--xo-o,-1,-3
xox--xo-o,-2,-2
oxx--xo-o,-1,-1
xxxo-xo-o,-1,1
xxx-oxo-o,-1,1
x--xoxo-o,-1,-1
-x-xoxo-o,-1,-1
--xxoxo-o,-1,-1
xoxxoxo-o,-1,-1
x--oxxo-o,-2,-2
xxooxxo-o,1,-1
--xoxxo-o,-1,-1
xoxoxxo-o,-1,-1
---xxxo-o,-1,1
xo-xxxo-o,-1,1
ox-xxxo-o,-1,1
x-oxxxo-o,-1,1
-xoxxxo-o,-1,1
o-xxxxo-o,-1,1
-oxxxxo-o,-1,1
------x-o,2,1
x-----x-o,1,2
ox----x-o,0,-2
-xo---x-o,-2,-4
--x---x-o,1,2
xox---x-o,-1,-1
x--o--x-o,0,-2
xx-o--x-o,-2,-3
xxoo--x-o,-2,-2
x-xo--x-o,-1,-1
-xxo--x-o,-1,-1
---x--x-o,1,2
o--x--x-o,0,-2
-o-x--x-o,0,2
xo-x--x-o,-1,1
x-ox--x-o,-1,1
oxox--x-o,-1,-1
-oxx--x-o,-1,-1
-x--o-x-o,0,-2
xx--o-x-o,-1,-1
--x-o-x-o,0,-2
x-x-o-x-o,-1,-1
oxx-o-x-o,-1,1
xxxoo-x-o,-1,1
x--xo-x-o,-1,1
ox-xo-x-o,-1,1
xxoxo-x-o,-1,1
o-xxo-x-o,-1,1
xoxxo-x-o,-1,1
xo--x-x-o,-1,-1
ox--x-x-o,-1,-1
--o-x-x-o,-2,-4
o-x-x-x-o,-1,1
-ox-x-x-o,-1,1
x--ox-x-o,-2,-3
-x-ox-x-o,-1,-1
x-oox-x-o,-2,-2
--xox-x-o,-1,1
xoxox-x-o,-1,1
oxxox-x-o,-1,1
o--xx-x-o,-1,-1
-o-xx-x-o,-1,-1
xooxx-x-o,-1,1
ooxxx-x-o,-1,1
xxo--ox-o,-1,1
x-x--ox-o,-1,-1
-xx--ox-o,-1,-1
xxxo-ox-o,-1,1
---x-ox-o,0,2
x--x-ox-o,-1,1
ox-x-ox-o,-1,-1
-xox-ox-o,-1,1
--xx-ox-o,-1,-1
xoxx-ox-o,-1,1
xxx-oox-o,-1,1
xx-xoox-o,-1,1
x-xxoox-o,-1,1
x-o-xox-o,-1,1
-xo-xox-o,-1,1
--x-xox-o,-1,1
xox-xox-o,-1,1
oxx-xox-o,-1,1
x-xoxox-o,-1,1
-xxoxox-o,-1,1
xo-xxox-o,-1,1
--oxxox-o,-1,1
o-xxxox-o,-1,1
-oxxxox-o,-1,1
o----xx-o,0,-2
xo---xx-o,-2,-3
--o--xx-o,0,-2
x-o--xx-o,-2,-3
-xo--xx-o,-2,-3
oxo--xx-o,0,-2
-ox--xx-o,0,-2
---o-xx-o,-2,-2
x--o-xx-o,-2,-3
xo-o-xx-o,-2,-2
-x-o-xx-o,-2,-3
ox-o-xx-o,0,-2
x-oo-xx-o,-2,-2
-xoo-xx-o,-2,-2
xxoo-xx-o,-2,-1
--xo-xx-o,-2,-3
xoxo-xx-o,-2,-1
-o-x-xx-o,-1,-1
--ox-xx-o,-1,-1
xoox-xx-o,-1,1
----oxx-o,-2,-4
x---oxx-o,-2,-3
ox--oxx-o,-1,1
-xo-oxx-o,-2,-2
xxo-oxx-o,-2,-1
o-x-oxx-o,-1,1
-ox-oxx-o,-1,-1
x--ooxx-o,-2,-2
-x-ooxx-o,-2,-2
xx-ooxx-o,-2,-1
xxoooxx-o,-1,-1
--xooxx-o,-2,-2
x-xooxx-o,-2,-1
xoxooxx-o,-1,-1
o--xoxx-o,-1,1
xo-xoxx-o,-1,1
x-oxoxx-o,-1,1
o---xxx-o,-1,-1
-o--xxx-o,-1,-1
--o-xxx-o,-2,-3
xoo-xxx-o,-2,-1
oxo-xxx-o,-1,-1
oox-xxx-o,-1,1
---oxxx-o,-2,-3
xo-oxxx-o,-2,-1
ox-oxxx-o,-1,-1
--ooxxx-o,-2,-2
x-ooxxx-o,-2,-1
xoooxxx-o,-1,-1
-xooxxx-o,-2,-1
oxooxxx-o,1,-1
o-xoxxx-o,-1,1
-oxoxxx-o,-1,1
oo-xxxx-o,-1,1
o-oxxxx-o,-1,1
-ooxxxx-o,-1,1
xx-----oo,0,2
-xx----oo,0,2
xxx----oo,-1,1
x--x---oo,0,2
-x-x---oo,0,-2
oxxx---oo,-1,-1
xxxxo--oo,-1,1
x---x--oo,0,-2
-x--x--oo,-2,-4
xxo-x--oo,-1,-1
xxxox--oo,-1,1
xxxx-o-oo,-1,1
xxx-xo-oo,-1,1
-x-xxo-oo,-1,-1
oxxxxo-oo,1,-1
x----x-oo,0,-4
-x---x-oo,0,-2
xxo--x-oo,-2,-2
--x--x-oo,-1,-1
xox--x-oo,-1,-1
oxx--x-oo,-1,-1
xxxo-x-oo,-1,1
---x-x-oo,0,2
xxx-ox-oo,-1,1
-x-xox-oo,-1,-1
xxoxox-oo,1,-1
--xxox-oo,-1,-1
x--oxx-oo,-2,-2
-x-oxx-oo,-2,-2
xxooxx-oo,-1,-1
oxxoxx-oo,1,-1
---xxx-oo,-1,1
xo-xxx-oo,-1,1
ox-xxx-oo,-1,1
x-oxxx-oo,-1,1
-xoxxx-oo,-1,1
o-xxxx-oo,-1,1
-oxxxx-oo,-1,1
xx-x--ooo,-1,1
x-xx--ooo,-1,1
-xxx--ooo,-1,1
xx--x-ooo,-1,1
x-x-x-ooo,-1,1
-xx-x-ooo,-1,1
x--xx-ooo,-1,1
-x-xx-ooo,-1,1
--xxx-ooo,-1,1
xx---xooo,-1,1
x-x--xooo,-1,1
-xx--xooo,-1,1
x--x-xooo,-1,1
-x-x-xooo,-1,1
xxox-xooo,-1,1
--xx-xooo,-1,1
xoxx-xooo,-1,1
oxxx-xooo,-1,1
x---xxooo,-1,1
-x--xxooo,-1,1
--x-xxooo,-1,1
xx----xoo,-1,-1
x-x---xoo,-1,-1
-xx---xoo,-1,-1
xxxo--xoo,-1,1
---x--xoo,0,2
x--x--xoo,-1,1
-x-x--xoo,-1,-3
ox-x--xoo,0,-2
xxox--xoo,-1,1
--xx--xoo,-1,-1
xoxx--xoo,-1,1
xxx-o-xoo,-1,1
xx-xo-xoo,-1,1
x-xxo-xoo,-1,1
x---x-xoo,-1,-1
-x--x-xoo,-2,-3
-xo-x-xoo,-2,-2
--x-x-xoo,-1,1
xox-x-xoo,-1,1
oxx-x-xoo,-1,1
xx-ox-xoo,-2,-1
xxoox-xoo,-1,-1
x-xox-xoo,-1,1
-xxox-xoo,-1,1
---xx-xoo,-1,-1
xo-xx-xoo,-1,1
ox-xx-xoo,-1,-1
x-oxx-xoo,-1,1
oxoxx-xoo,1,-1
o-xxx-xoo,-1,1
-oxxx-xoo,-1,1
xxx--oxoo,-1,1
xx-x-oxoo,-1,1
x-xx-oxoo,-1,1
-xxx-oxoo,-1,-1
-xxxooxoo,1,-1
x-x-xoxoo,-1,1
-xx-xoxoo,-1,1
x--xxoxoo,-1,1
ox-xxoxoo,1,-1
--xxxoxoo,-1,1
x----xxoo,-1,-3
-x---xxoo,-1,-3
ox---xxoo,0,-2
-xo--xxoo,0,-2
xxo--xxoo,-2,-1
--x--xxoo,0,-2
x--o-xxoo,0,-2
-x-o-xxoo,0,-2
xx-o-xxoo,-2,-1
xxoo-xxoo,-2,0
x-xo-xxoo,-1,-1
-xxo-xxoo,-1,-1
---x-xxoo,-1,-1
xo-x-xxoo,-1,1
x-ox-xxoo,-1,1
-xox-xxoo,-1,-1
-x--oxxoo,0,-2
xx--oxxoo,-1,-1
xxo-oxxoo,1,-1
--x-oxxoo,-1,-1
xx-ooxxoo,1,-1
x-xooxxoo,1,-1
-xxooxxoo,1,-1
x--xoxxoo,-1,1
-xoxoxxoo,1,-1
----xxxoo,-1,-1
xo--xxxoo,-1,-1
ox--xxxoo,-1,-1
x-o-xxxoo,-2,-1
xoo-xxxoo,1,-1
-xo-xxxoo,-2,-1
oxo-xxxoo,1,-1
o-x-xxxoo,-1,1
-ox-xxxoo,-1,1
x--oxxxoo,-2,-1
-x-oxxxoo,-2,-1
ox-oxxxoo,1,-1
x-ooxxxoo,-1,-1
-xooxxxoo,-1,-1
xxooxxxoo,-1,0
--xoxxxoo,-1,1
o--xxxxoo,-1,1
-o-xxxxoo,-1,1
--oxxxxoo,-1,1
-------xo,0,-1
xo-----xo,-2,-2
x-o----xo,-2,-4
--x----xo,-2,-1
o-x----xo,0,-2
-ox----xo,-2,-2
xox----xo,-2,-3
-x-o---xo,0,2
xx-o---xo,-1,-1
x-xo---xo,-2,-3
xoxo---xo,-2,-2
-xxo---xo,-1,-1
o--x---xo,0,-2
-o-x---xo,-2,-2
xo-x---xo,-2,-3
--ox---xo,-1,-3
-oxx---xo,-2,-3
ooxx---xo,0,-2
x---o--xo,-2,-4
-x--o--xo,-1,-3
xx--o--xo,0,-2
xxo-o--xo,-1,-1
--x-o--xo,-2,-4
x-x-o--xo,-2,-3
xox-o--xo,-2,-2
oxx-o--xo,-1,1
xxxoo--xo,-1,1
---xo--xo,-2,-4
x--xo--xo,-2,-3
ox-xo--xo,-1,1
-xoxo--xo,-1,-1
o-xxo--xo,-1,1
-oxxo--xo,-2,-2
xoxxo--xo,-2,-1
-o--x--xo,-2,-4
xo--x--xo,-2,-3
ox--x--xo,-1,1
xoo-x--xo,-2,-2
-xo-x--xo,-1,1
o-x-x--xo,-1,-1
-ox-x--xo,-2,-3
x--ox--xo,-2,-3
xo-ox--xo,-2,-2
-x-ox--xo,-1,1
xxoox--xo,-1,1
--xox--xo,-1,-1
xoxox--xo,-2,-1
oxxox--xo,-1,1
o--xx--xo,-1,-1
-o-xx--xo,-2,-3
oxoxx--xo,-1,1
ooxxx--xo,-1,-1
x----o-xo,0,-4
-x---o-xo,0,2
xxo--o-xo,-1,1
x-x--o-xo,-1,-3
xox--o-xo,0,-2
-xx--o-xo,-1,-1
xxxo-o-xo,-1,1
---x-o-xo,0,-2
x-ox-o-xo,-1,1
-xox-o-xo,-1,1
--xx-o-xo,-1,-3
o-xx-o-xo,0,-2
-oxx-o-xo,0,-2
xoxx-o-xo,-2,-1
xxx-oo-xo,-1,1
-x-xoo-xo,-1,-1
--xxoo-xo,0,-2
x-xxoo-xo,-1,-1
xoxxoo-xo,1,-1
xo--xo-xo,-2,-2
-x--xo-xo,-1,1
x-o-xo-xo,-1,1
--x-xo-xo,-1,-1
xox-xo-xo,-2,-1
oxx-xo-xo,-1,1
xx-oxo-xo,-1,1
x-xoxo-xo,-1,-1
-xxoxo-xo,-1,1
-o-xxo-xo,-2,-2
ox-xxo-xo,-1,1
--oxxo-xo,-1,1
o-xxxo-xo,-1,-1
-oxxxo-xo,-2,-1
ooxxxo-xo,1,-1
-----x-xo,-2,-1
o----x-xo,0,-2
-o---x-xo,-2,-2
xo---x-xo,-2,-3
--o--x-xo,0,-2
x-o--x-xo,-2,-3
xoo--x-xo,0,-2
-xo--x-xo,0,-2
-ox--x-xo,-2,-3
oox--x-xo,0,-2
---o-x-xo,-2,-2
x--o-x-xo,-2,-3
xo-o-x-xo,-2,-2
-x-o-x-xo,-2,-3
x-oo-x-xo,-2,-2
xxoo-x-xo,-2,-1
--xo-x-xo,0,-2
o-xo-x-xo,-1,-1
-oxo-x-xo,-2,-2
xoxo-x-xo,-2,-1
-o-x-x-xo,-2,-3
--ox-x-xo,0,-2
xoox-x-xo,-1,-1
----ox-xo,-2,-4
x---ox-xo,-2,-3
xo--ox-xo,-2,-2
ox--ox-xo,-1,1
x-o-ox-xo,-2,-2
-xo-ox-xo,-1,-1
o-x-ox-xo,-1,1
-ox-ox-xo,-2,-2
xox-ox-xo,-2,-1
x--oox-xo,-2,-2
-x-oox-xo,-2,-2
xx-oox-xo,-2,-1
xxooox-xo,-1,-1
--xoox-xo,-2,-2
x-xoox-xo,-2,-1
xoxoox-xo,-1,-1
o--xox-xo,-1,1
-o-xox-xo,-2,-2
xo-xox-xo,-2,-1
--oxox-xo,-1,-1
xooxox-xo,1,-1
o---xx-xo,-1,-1
-o--xx-xo,-2,-3
--o-xx-xo,-1,-1
xoo-xx-xo,-2,-1
oxo-xx-xo,-1,1
oox-xx-xo,-1,-1
---oxx-xo,-2,-3
-o-oxx-xo,-2,-2
xo-oxx-xo,-2,-1
ox-oxx-xo,-1,1
x-ooxx-xo,-2,-1
xoooxx-xo,-1,-1
-xooxx-xo,-1,1
-oxoxx-xo,-2,-1
ooxoxx-xo,1,-1
oo-xxx-xo,-1,1
o-oxxx-xo,-1,1
-ooxxx-xo,-1,1
x-----oxo,0,-2
xx----oxo,-1,-1
--x---oxo,0,-2
x-x---oxo,-2,-3
xox---oxo,-2,-2
-xx---oxo,-1,-1
xxxo--oxo,-1,1
---x--oxo,0,-2
x--x--oxo,0,-2
xo-x--oxo,-2,-2
-x-x--oxo,0,-2
x-ox--oxo,-1,-1
--xx--oxo,-2,-3
o-xx--oxo,0,-2
-oxx--oxo,-2,-2
xoxx--oxo,-2,-1
xxx-o-oxo,-1,1
x--xo-oxo,-2,-2
-x-xo-oxo,-1,-1
--xxo-oxo,-2,-2
x-xxo-oxo,-2,-1
xoxxo-oxo,-1,-1
x---x-oxo,-2,-3
xo--x-oxo,-2,-2
-x--x-oxo,-1,1
xxo-x-oxo,-1,1
--x-x-oxo,-2,-3
-ox-x-oxo,-2,-2
xox-x-oxo,-2,-1
oxx-x-oxo,-1,1
xx-ox-oxo,-1,1
x-xox-oxo,-2,-1
xoxox-oxo,-1,-1
-xxox-oxo,-1,1
---xx-oxo,-1,-1
xo-xx-oxo,-2,-1
ox-xx-oxo,-1,1
xooxx-oxo,1,-1
-xoxx-oxo,-1,1
o-xxx-oxo,-1,-1
-oxxx-oxo,-2,-1
ooxxx-oxo,1,-1
xxx--ooxo,-1,1
x--x-ooxo,-2,-2
xxox-ooxo,-1,1
--xx-ooxo,0,-2
x-xx-ooxo,-2,-1
xoxx-ooxo,-2,0
-xxx-ooxo,-1,-1
xx-xoooxo,1,-1
x-xxoooxo,1,-1
-xxxoooxo,1,-1
xx--xooxo,-1,1
x-x-xooxo,-2,-1
xox-xooxo,-1,-1
-xx-xooxo,-1,1
x-xoxooxo,1,-1
xo-xxooxo,-1,-1
-x-xxooxo,-1,1
--xxxooxo,-2,-1
o-xxxooxo,1,-1
-oxxxooxo,-1,-1
xoxxxooxo,-1,0
-----xoxo,0,-2
x----xoxo,-2,-3
xo---xoxo,-2,-2
-x---xoxo,0,-2
x-o--xoxo,0,-2
--x--xoxo,0,-2
o-x--xoxo,-1,-1
-ox--xoxo,-2,-2
xox--xoxo,-2,-1
x--o-xoxo,0,-2
xx-o-xoxo,-1,-1
--xo-xoxo,-2,-2
x-xo-xoxo,-2,-1
xoxo-xoxo,-2,0
oxxo-xoxo,-1,1
---x-xoxo,0,-2
xo-x-xoxo,-2,-1
-oxx-xoxo,-2,-1
x---oxoxo,-2,-2
-x--oxoxo,-1,-1
--x-oxoxo,-2,-2
x-x-oxoxo,-2,-1
xox-oxoxo,-1,-1
xx-ooxoxo,1,-1
x-xooxoxo,1,-1
-xxooxoxo,1,-1
---xoxoxo,-1,-1
xo-xoxoxo,-1,-1
-oxxoxoxo,-1,-1
xoxxoxoxo,-1,0
----xxoxo,-1,-1
xo--xxoxo,-2,-1
ox--xxoxo,-1,1
x-o-xxoxo,-1,-1
xoo-xxoxo,1,-1
-xo-xxoxo,-1,1
-ox-xxoxo,-2,-1
oox-xxoxo,1,-1
x--oxxoxo,-2,-1
xo-oxxoxo,-1,-1
-x-oxxoxo,-1,1
x-ooxxoxo,1,-1
-oxoxxoxo,-1,-1
xoxoxxoxo,-1,0
o--xxxoxo,-1,1
-o-xxxoxo,-1,1
--oxxxoxo,-1,1
------xxo,2,1
o-----xxo,0,-2
-o----xxo,-2,-2
xo----xxo,-2,-3
--o---xxo,-1,-3
-ox---xxo,-2,-3
x--o--xxo,0,-2
xo-o--xxo,-2,-2
-x-o--xxo,0,-2
x-oo--xxo,-2,-2
--xo--xxo,0,-2
xoxo--xxo,-2,-1
-o-x--xxo,0,-2
oo-x--xxo,-1,-1
o-ox--xxo,-1,-1
xoox--xxo,-1,1
----o-xxo,-2,-4
x---o-xxo,-2,-3
ox--o-xxo,-1,1
-xo-o-xxo,-1,-1
o-x-o-xxo,-1,1
-ox-o-xxo,-2,-2
xox-o-xxo,-2,-1
x--oo-xxo,-2,-2
-x-oo-xxo,-1,-1
xxooo-xxo,-1,-1
--xoo-xxo,-1,-1
xoxoo-xxo,-1,-1
o--xo-xxo,-1,1
xo-xo-xxo,-1,1
x-oxo-xxo,-1,1
o---x-xxo,-1,-1
-o--x-xxo,0,-2
-oo-x-xxo,-1,-1
oxo-x-xxo,-1,1
oox-x-xxo,-1,1
---ox-xxo,-1,-1
xo-ox-xxo,-2,-1
ox-ox-xxo,-1,1
xooox-xxo,-1,-1
-xoox-xxo,-1,1
o-xox-xxo,-1,1
-oxox-xxo,-1,1
-----oxxo,-1,-3
x-o--oxxo,-1,1
-xo--oxxo,-1,1
--x--oxxo,0,-2
xox--oxxo,-1,-1
x--o-oxxo,-1,-1
xxoo-oxxo,-1,1
o--x-oxxo,-1,-1
xo-x-oxxo,-1,1
--ox-oxxo,-1,1
oxox-oxxo,-1,1
-oxx-oxxo,-1,-1
-x--ooxxo,-1,-1
--x-ooxxo,-1,-1
xox-ooxxo,1,-1
x--xooxxo,-1,1
-oxxooxxo,1,-1
ox--xoxxo,-1,1
--o-xoxxo,-1,1
o-x-xoxxo,-1,1
-ox-xoxxo,-1,1
-x-oxoxxo,-1,1
--xoxoxxo,-1,1
oo-xxoxxo,1,-1
-o---xxxo,0,-2
oo---xxxo,-1,-1
--o--xxxo,0,-2
o-o--xxxo,-1,-1
-oo--xxxo,-2,-2
xoo--xxxo,-2,-1
---o-xxxo,-2,-3
o--o-xxxo,0,-2
-o-o-xxxo,-2,-2
xo-o-xxxo,-2,-1
--oo-xxxo,-2,-2
x-oo-xxxo,-2,-1
xooo-xxxo,-2,0
-xoo-xxxo,-2,-1
-oxo-xxxo,-2,-1
ooox-xxxo,-1,1
o---oxxxo,-1,1
-o--oxxxo,-2,-2
xo--oxxxo,-2,-1
--o-oxxxo,-2,-2
x-o-oxxxo,-2,-1
xoo-oxxxo,1,-1
---ooxxxo,-2,-2
x--ooxxxo,-2,-1
xo-ooxxxo,-1,-1
x-oooxxxo,-1,-1
-xoooxxxo,-1,-1
xxoooxxxo,-1,0
-oxooxxxo,-1,-1
xoxooxxxo,-1,0
-ooxoxxxo,1,-1
o--oxxxxo,-1,-1
-o-oxxxxo,-2,-1
oo-oxxxxo,1,-1
--ooxxxxo,-2,-1
o-ooxxxxo,1,-1
-oooxxxxo,-1,-1
xoooxxxxo,-1,0
--------x,0,-2
o-------x,2,1
-o------x,2,1
-xo-----x,-2,-1
oxo-----x,0,-2
-ox-----x,-1,1
x--o----x,-2,-1
xo-o----x,0,2
-x-o----x,-2,-1
ox-o----x,0,-2
xxoo----x,0,-2
--xo----x,-1,1
-oxo----x,0,2
xoxo----x,-1,-1
o--x----x,-2,-1
-o-x----x,-2,-1
oo-x----x,0,-2
--ox----x,-2,-1
o-ox----x,-2,-4
xoox----x,-1,-1
oxox----x,-2,-3
ooxx----x,-1,-3
----o---x,0,-1
xo--o---x,-2,-4
ox--o---x,-2,-4
x-o-o---x,0,-2
-xo-o---x,-2,-4
oxx-o---x,-2,-3
x--oo---x,-2,-4
-x-oo---x,-2,-4
xxooo---x,-1,-1
o--xo---x,-2,-4
-o-xo---x,-2,-4
ox-xo---x,-2,-3
--oxo---x,0,-2
oxoxo---x,-2,-2
o-xxo---x,-2,-3
-o--x---x,1,2
oo--x---x,0,-2
o-o-x---x,-2,-4
xoo-x---x,-1,1
oxo-x---x,-2,-3
oox-x---x,-1,-1
---ox---x,1,2
o--ox---x,0,-2
xo-ox---x,-1,1
x-oox---x,-1,1
-xoox---x,-1,-1
-oxox---x,-1,-1
oooxx---x,-1,1
x----o--x,-2,-1
xo---o--x,0,2
-x---o--x,-2,-1
ox---o--x,0,-2
xxo--o--x,0,-2
--x--o--x,-2,-1
o-x--o--x,0,-2
xox--o--x,0,-2
oxx--o--x,0,-2
x--o-o--x,0,2
oxxo-o--x,-1,-1
---x-o--x,-2,-1
o--x-o--x,-2,-4
xo-x-o--x,-1,-1
ox-x-o--x,-2,-3
x-ox-o--x,-1,-1
-xox-o--x,-1,-3
oxox-o--x,0,-2
o-xx-o--x,-2,-3
-oxx-o--x,-2,-3
ooxx-o--x,0,-2
x---oo--x,-2,-4
-x--oo--x,-2,-4
xxo-oo--x,-1,-1
--x-oo--x,-2,-4
xox-oo--x,-1,-1
oxx-oo--x,-2,-2
xx-ooo--x,-1,1
x-xooo--x,-1,1
-xxooo--x,-1,1
---xoo--x,0,-2
x--xoo--x,-2,-3
-x-xoo--x,-2,-3
ox-xoo--x,-2,-2
-xoxoo--x,0,-2
--xxoo--x,-2,-3
o-xxoo--x,-2,-2
-oxxoo--x,-2,-2
oxxxoo--x,-2,-1
----xo--x,1,2
o---xo--x,0,-2
xo--xo--x,-1,1
ox--xo--x,-2,-3
x-o-xo--x,-1,1
-xo-xo--x,-1,-1
o-x-xo--x,-2,-3
-ox-xo--x,-1,-1
x--oxo--x,-1,1
-x-oxo--x,-1,-1
xxooxo--x,-1,1
--xoxo--x,-1,-1
xoxoxo--x,-1,1
o--xxo--x,-2,-3
-o-xxo--x,-2,-3
oo-xxo--x,-2,-2
--oxxo--x,-2,-3
o-oxxo--x,-2,-2
xooxxo--x,-1,1
oxoxxo--x,-2,-1
ooxxxo--x,-2,-1
oo---x--x,0,2
o-o--x--x,-1,-3
-oo--x--x,-1,-1
xoo--x--x,0,-2
oxo--x--x,0,-2
oox--x--x,-1,1
---o-x--x,-2,-1
o--o-x--x,0,2
-o-o-x--x,0,2
xo-o-x--x,-1,-1
